# Dados do modulador AM - ECOM060 / Cap.5.3 - UFAL 2026.2
# s_am = (1+ma*m)*Ac*cos(2pi*fc*t) + ruido ; ma=0.50 fc=2000Hz sigma=0.020
"# Colunas: t[s], mensagem, portadora, sinal_am"
t,mensagem,portadora,sinal_am
0.006020,0.368867,0.968583,1.135763
0.006030,0.367789,0.929776,1.108633
0.006040,0.366722,0.876307,1.039511
0.006050,0.365664,0.809017,0.956091
0.006060,0.364617,0.728969,0.879686
0.006070,0.363581,0.637424,0.753879
0.006080,0.362554,0.535827,0.605783
0.006090,0.361539,0.425779,0.526064
0.006100,0.360533,0.309017,0.378851
0.006110,0.359538,0.187381,0.227446
0.006120,0.358554,0.062791,0.054764
0.006130,0.357580,-0.062791,-0.089025
0.006140,0.356616,-0.187381,-0.219346
0.006150,0.355663,-0.309017,-0.352018
0.006160,0.354721,-0.425779,-0.530365
0.006170,0.353789,-0.535827,-0.586428
0.006180,0.352868,-0.637424,-0.762277
0.006190,0.351957,-0.728969,-0.846778
