Time,Subsystem1.i_in,Subsystem1.i_read
0.0849,0.0010008335,0.001
0.085,0.0010006203,0.001
0.0851,0.0010005318,0.001
0.0852,0.0010002655,0.001
0.0853,0.001000561,0.001
0.0854,0.0010007612,0.001
0.0855,0.0010005115,0.001
0.0856,0.0010010352,0.001001
0.0857,0.0009999581,0.000999
0.0858,0.0010001474,0.001
0.0859,0.0010002882,0.001
0.086,0.0010000177,0.001
0.0861,0.0010005531,0.001
0.0862,0.001000366,0.001
0.0863,0.0010010884,0.001001
0.0864,0.001000499,0.001
0.0865,0.0010001,0.001
0.0866,0.0010006612,0.001
0.0867,0.0010005768,0.001
0.0868,0.0010001945,0.001
0.0869,0.0010007506,0.001
0.087,0.0010002231,0.001
